slice_feature,slice_value,rows,projects,event_rate,roc_auc,precision_at_40,recall_at_40,false_positives,false_negatives,error_rate,sample_status
agency,Northern Railways,10,2,0.100000,1.000000,0.000000,0.000000,0,1,0.100000,INSUFFICIENT_SAMPLE
agency,Oil and Natural Gas Corporation Limited [ONGC],76,14,0.539474,0.952613,0.970588,0.804878,1,8,0.118421,INSUFFICIENT_SAMPLE
agency,PCE/WR,32,6,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,PMSSY AND Institute of NATIONAL Importance,41,8,0.195122,0.825758,0.571429,0.500000,3,4,0.170732,INSUFFICIENT_SAMPLE
agency,Paradip Port Trust [PPT],6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Patna Metro Rail Corporation Ltd. [PMRCL],6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,Power Grid Corporation of India Limited [POWERGRID],309,64,0.343042,0.708198,0.476190,0.566038,66,46,0.362460,ADEQUATE
agency,RCIL,6,1,0.000000,,0.000000,0.000000,0,0,0.000000,INSUFFICIENT_SAMPLE
agency,RVNL,10,2,0.100000,0.888889,0.000000,0.000000,0,1,0.100000,INSUFFICIENT_SAMPLE
agency,RVNL - I,12,2,0.416667,0.657143,0.000000,0.000000,0,5,0.416667,INSUFFICIENT_SAMPLE
