report_month,state,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2026-01,Ladakh,5.0,2001.16,2125.4,1495.67,State-Wise-Report.csv,aggregate_csv
2026-01,Dadra & Nagar Haveli and Daman & Diu,4.0,114666.0,115408.5,91796.63,State-Wise-Report.csv,aggregate_csv
2026-01,Haryana,37.0,157609.74,236918.46,180916.97,State-Wise-Report.csv,aggregate_csv
2026-01,Arunachal Pradesh,20.0,65553.31,90493.52,46770.25,State-Wise-Report.csv,aggregate_csv
2026-01,Andaman & Nicobar,1.0,209.88,209.88,0.0,State-Wise-Report.csv,aggregate_csv
2026-01,Jammu & Kashmir,47.0,60822.0,67198.51,28932.36,State-Wise-Report.csv,aggregate_csv
2026-01,Tamil Nadu,59.0,165660.89,176159.38,61638.0,State-Wise-Report.csv,aggregate_csv
2026-01,Punjab,48.0,82350.82,88861.2,131194.57,State-Wise-Report.csv,aggregate_csv
2026-01,Maharashtra,180.0,507258.65,627146.77,412581.51,State-Wise-Report.csv,aggregate_csv
2026-01,Uttar Pradesh,159.0,376614.18,451984.71,269474.12,State-Wise-Report.csv,aggregate_csv
2026-01,Andhra Pradesh,125.0,200004.85,253484.2,131250.46,State-Wise-Report.csv,aggregate_csv
2026-01,Bihar,114.0,224527.85,234547.82,142083.45,State-Wise-Report.csv,aggregate_csv
2026-01,Madhya Pradesh,101.0,276043.14,290650.21,105842.49,State-Wise-Report.csv,aggregate_csv
2026-01,Jharkhand,96.0,194210.02,205152.0,82010.16,State-Wise-Report.csv,aggregate_csv
2026-01,Gujarat,119.0,415591.9,516772.67,374346.57,State-Wise-Report.csv,aggregate_csv
2026-01,Odisha,95.0,200733.13,213051.07,105025.04,State-Wise-Report.csv,aggregate_csv
2026-01,Assam,87.0,118789.14,154841.94,95308.98,State-Wise-Report.csv,aggregate_csv
2026-01,West Bengal,79.0,147217.35,162061.59,75364.46,State-Wise-Report.csv,aggregate_csv
2026-01,Rajasthan,75.0,247196.98,359788.86,261223.31,State-Wise-Report.csv,aggregate_csv
2026-01,Telangana,72.0,71522.17,90305.35,43061.9,State-Wise-Report.csv,aggregate_csv
2026-01,Chhattisgarh,68.0,136247.39,145735.51,59894.43,State-Wise-Report.csv,aggregate_csv
2026-01,Karnataka,96.0,171730.62,187507.72,93976.03,State-Wise-Report.csv,aggregate_csv
2026-02,Delhi,24.0,153628.9,158522.94,81628.2,State-Wise-Report.csv,aggregate_csv
2026-02,Manipur,34.0,41306.42,50536.04,35718.08,State-Wise-Report.csv,aggregate_csv
2026-02,Himachal Pradesh,33.0,45165.7,55291.16,22437.9,State-Wise-Report.csv,aggregate_csv
2026-02,Kerala,31.0,70697.16,80124.93,26185.09,State-Wise-Report.csv,aggregate_csv
2026-02,Mizoram,25.0,29497.41,31230.64,14822.93,State-Wise-Report.csv,aggregate_csv
2026-02,Nagaland,25.0,29857.31,32000.03,19497.61,State-Wise-Report.csv,aggregate_csv
2026-02,Ladakh,4.0,1602.79,1727.03,1276.19,State-Wise-Report.csv,aggregate_csv
2026-02,Andaman & Nicobar,4.0,863.85,1291.36,0.0,State-Wise-Report.csv,aggregate_csv
2026-02,Sikkim,17.0,33314.72,42915.98,32007.15,State-Wise-Report.csv,aggregate_csv
2026-02,Meghalaya,15.0,21497.25,22932.59,13294.61,State-Wise-Report.csv,aggregate_csv
